id;name;geoid;geoname;value;datetime
600;Marginal price Day Ahead market Spain;3;Spain;200;2022-09-01T00:00:00+02:00
600;Marginal price Day Ahead market Spain;3;Spain;181.99;2022-09-01T01:00:00+02:00
600;Marginal price Day Ahead market Spain;3;Spain;178.54;2022-09-01T02:00:00+02:00
600;Marginal price Day Ahead market Spain;3;Spain;178.54;2022-09-01T03:00:00+02:00
600;Marginal price Day Ahead market Spain;3;Spain;181.23;2022-09-01T04:00:00+02:00
600;Marginal price Day Ahead market Spain;3;Spain;189.65;2022-09-01T05:00:00+02:00
600;Marginal price Day Ahead market Spain;3;Spain;198.64;2022-09-01T06:00:00+02:00
600;Marginal price Day Ahead market Spain;3;Spain;227.31;2022-09-01T07:00:00+02:00
600;Marginal price Day Ahead market Spain;3;Spain;228.4;2022-09-01T08:00:00+02:00
600;Marginal price Day Ahead market Spain;3;Spain;225;2022-09-01T09:00:00+02:00
600;Marginal price Day Ahead market Spain;3;Spain;197.65;2022-09-01T10:00:00+02:00
600;Marginal price Day Ahead market Spain;3;Spain;179.25;2022-09-01T11:00:00+02:00
600;Marginal price Day Ahead market Spain;3;Spain;178.65;2022-09-01T12:00:00+02:00
600;Marginal price Day Ahead market Spain;3;Spain;179;2022-09-01T13:00:00+02:00
600;Marginal price Day Ahead market Spain;3;Spain;175.08;2022-09-01T14:00:00+02:00
600;Marginal price Day Ahead market Spain;3;Spain;148.6;2022-09-01T15:00:00+02:00
600;Marginal price Day Ahead market Spain;3;Spain;149.7;2022-09-01T16:00:00+02:00
600;Marginal price Day Ahead market Spain;3;Spain;157.68;2022-09-01T17:00:00+02:00
600;Marginal price Day Ahead market Spain;3;Spain;176.12;2022-09-01T18:00:00+02:00
600;Marginal price Day Ahead market Spain;3;Spain;210;2022-09-01T19:00:00+02:00
600;Marginal price Day Ahead market Spain;3;Spain;230.01;2022-09-01T20:00:00+02:00
600;Marginal price Day Ahead market Spain;3;Spain;250;2022-09-01T21:00:00+02:00
600;Marginal price Day Ahead market Spain;3;Spain;228.4;2022-09-01T22:00:00+02:00
